date,model,equity
2025-08-29,lstm,10002.65
2025-09-26,lstm,10025.73
2025-08-18,tcn,10047.72
2025-09-02,tcn,10165.21
2025-09-04,tcn,10142.55
2025-09-10,tcn,10204.27
2025-09-19,tcn,10309.57
2025-09-29,tcn,10335.99
2025-10-09,tcn,10394.94
2025-10-17,tcn,10389.36
2025-08-08,trans,10133.26
2025-08-08,trans,10129.31
2025-08-12,trans,10255.57
2025-08-25,trans,10290.63
2025-08-25,trans,10307.53
2025-09-03,trans,10348.47
2025-09-08,trans,10327.38
2025-09-08,trans,10312.4
2025-09-19,trans,10284.4
2025-09-22,trans,10359.69
2025-09-29,trans,10392.17
2025-10-13,trans,10458.11
2025-10-20,trans,10462.37
